date,state_name,predicted_rainfall
2024-04-01,Uttarakhand,41.871567
2024-05-01,Uttarakhand,70.33821
2024-06-01,Uttarakhand,164.2638
2024-07-01,Uttarakhand,411.7666
2024-08-01,Uttarakhand,546.6464
2024-09-01,Uttarakhand,280.23615
2024-10-01,Uttarakhand,59.621227
2024-11-01,Uttarakhand,15.972686
2024-12-01,Uttarakhand,20.58934
2025-01-01,Uttarakhand,42.979763
2025-02-01,Uttarakhand,52.436275
2025-03-01,Uttarakhand,53.197624
2025-04-01,Uttarakhand,43.825344
2025-05-01,Uttarakhand,56.551903
2025-06-01,Uttarakhand,132.8607
2025-07-01,Uttarakhand,344.6316
2025-08-01,Uttarakhand,533.00604
2025-09-01,Uttarakhand,326.1484
2025-10-01,Uttarakhand,72.26039
2025-11-01,Uttarakhand,17.749878
2025-12-01,Uttarakhand,21.486256
2026-01-01,Uttarakhand,41.30468
2026-02-01,Uttarakhand,53.838306
2026-03-01,Uttarakhand,55.091114
2026-04-01,Uttarakhand,46.17086
2026-05-01,Uttarakhand,49.961266
2026-06-01,Uttarakhand,106.98823
2026-07-01,Uttarakhand,284.74045
2026-08-01,Uttarakhand,508.79636
2026-09-01,Uttarakhand,349.46753
2026-10-01,Uttarakhand,89.98798
2026-11-01,Uttarakhand,22.431581
2026-12-01,Uttarakhand,22.407001
2027-01-01,Uttarakhand,37.98932
2027-02-01,Uttarakhand,52.53822
2027-03-01,Uttarakhand,58.251537
2027-04-01,Uttarakhand,49.276268
2027-05-01,Uttarakhand,46.717323
2027-06-01,Uttarakhand,93.00451
2027-07-01,Uttarakhand,244.27919
2027-08-01,Uttarakhand,488.0103
2027-09-01,Uttarakhand,376.1304
2027-10-01,Uttarakhand,114.0212
2027-11-01,Uttarakhand,27.444704
2027-12-01,Uttarakhand,21.192102
2028-01-01,Uttarakhand,34.925285
2028-02-01,Uttarakhand,51.06384
2028-03-01,Uttarakhand,59.59808
2028-04-01,Uttarakhand,49.848
2028-05-01,Uttarakhand,44.01563
2028-06-01,Uttarakhand,86.79631
2028-07-01,Uttarakhand,223.46564
2028-08-01,Uttarakhand,476.30438
2028-09-01,Uttarakhand,423.0347
2028-10-01,Uttarakhand,145.61104
2028-11-01,Uttarakhand,31.82806
2028-12-01,Uttarakhand,16.724611
2029-01-01,Uttarakhand,31.314253
2029-02-01,Uttarakhand,49.31492
2029-03-01,Uttarakhand,59.489452
2029-04-01,Uttarakhand,50.67521
2029-05-01,Uttarakhand,42.65045
2029-06-01,Uttarakhand,78.671936
2029-07-01,Uttarakhand,205.4999
2029-08-01,Uttarakhand,461.81967
2029-09-01,Uttarakhand,490.56384
2029-10-01,Uttarakhand,182.25406
2029-11-01,Uttarakhand,32.942444
2029-12-01,Uttarakhand,14.387042
2030-01-01,Uttarakhand,27.094213
2030-02-01,Uttarakhand,47.525593
2030-03-01,Uttarakhand,56.157673
2030-04-01,Uttarakhand,50.11405
2030-05-01,Uttarakhand,41.870205
2030-06-01,Uttarakhand,70.89096
2030-07-01,Uttarakhand,181.31923
2030-08-01,Uttarakhand,438.09003
2030-09-01,Uttarakhand,533.3338
2030-10-01,Uttarakhand,226.59831
2030-11-01,Uttarakhand,37.239
2030-12-01,Uttarakhand,13.531684
2024-04-01,Assam,147.97969
2024-05-01,Assam,255.04935
2024-06-01,Assam,331.9729
2024-07-01,Assam,291.56067
2024-08-01,Assam,241.61218
2024-09-01,Assam,167.5579
2024-10-01,Assam,72.2935
2024-11-01,Assam,24.64923
2024-12-01,Assam,22.187635
2025-01-01,Assam,26.742857
2025-02-01,Assam,48.98479
2025-03-01,Assam,91.18917
2025-04-01,Assam,238.7779
2025-05-01,Assam,294.1468
2025-06-01,Assam,323.35187
2025-07-01,Assam,264.37057
2025-08-01,Assam,202.38396
2025-09-01,Assam,114.27688
2025-10-01,Assam,31.99776
2025-11-01,Assam,25.301182
2025-12-01,Assam,23.63831
2026-01-01,Assam,39.639385
2026-02-01,Assam,71.12522
2026-03-01,Assam,194.17659
2026-04-01,Assam,283.4353
2026-05-01,Assam,328.66052
2026-06-01,Assam,285.33554
2026-07-01,Assam,225.45352
2026-08-01,Assam,155.77689
2026-09-01,Assam,51.533012
2026-10-01,Assam,26.453825
2026-11-01,Assam,22.070362
2026-12-01,Assam,31.709515
2027-01-01,Assam,58.422424
2027-02-01,Assam,128.58594
2027-03-01,Assam,263.87314
2027-04-01,Assam,306.47006
2027-05-01,Assam,306.4109
2027-06-01,Assam,248.08147
2027-07-01,Assam,186.57632
2027-08-01,Assam,88.616615
2027-09-01,Assam,26.510035
