state,RMSE,MAE,R2_score
Uttarakhand,69.80714563477171,46.3431236958052,77.71128511943205
Assam,62.60526144228953,44.66237988014828,78.249380220233
Tripura,86.49452958192255,67.94102189329948,58.45619701115506
Telangana,83.87675728503224,44.42041259221639,52.63180741537674
Himachal Pradesh,71.14598844528058,50.07673495814067,50.90789810139427
Jammu And Kashmir,59.60826009618247,47.073591039855295,-43.84653455893051
Maharashtra,76.34512167009248,40.11132553468559,61.72645686164684
Punjab,47.042919248163734,27.342121287575274,51.09475390422594
Andhra Pradesh,48.35518527460089,40.48402247420088,38.914733767280595
Arunachal Pradesh,91.01015359905827,68.97073976339645,60.083776850996685
Uttar Pradesh,42.70142391450989,30.249893398158587,72.2536069254419
Haryana,51.10563058670022,30.064425786841795,37.06121254746998
Madhya Pradesh,69.9680385443429,39.07456144220769,51.92255203754894
Manipur,51.78419040949613,40.7959903064891,36.01864086738282
Karnataka,71.27886634640309,43.508958597426556,32.467095225966425
Chandigarh,144.72833539025245,66.75268467298106,36.62368506899911
West Bengal,38.85140757380253,31.390566523441645,89.41119803126327
Rajasthan,30.78566704095755,19.3671915892293,71.27461709519744
Chhattisgarh,37.81092448057322,25.62306462988322,88.02627007281257
Nagaland,58.271397300891046,46.699272289271796,78.83109125180682
Bihar,37.50553389658584,29.090764975588048,83.8356931974948
Puducherry,138.55593693941768,86.45444132186333,-14.144951584185828
Gujarat,74.8505918244328,39.462624129240396,49.63299172444259
Odisha,39.371176838624585,29.51530715378095,87.09802228959343
Tamil Nadu,57.412250864967994,46.11936672063405,26.962610840615177
Kerala,133.4773982321617,81.84128291311475,19.306178337072268
Sikkim,102.72296114643895,73.10609645842777,74.24628350725726
Delhi,65.97663413224404,40.982413348190846,14.490868969427806
Mizoram,66.36469751797708,48.91292340680902,69.55086594554155
Jharkhand,28.799261237755648,22.747860227747772,89.38111307943569
Meghalaya,182.22298749241835,131.61357021603698,51.24132228484031
Goa,339.20807580745816,146.67390103273385,47.42587352760541
The Dadra And Nagar Haveli And Daman And Diu,191.7189905609063,101.6653635499116,67.61482384018873
