state,RMSE,MAE,R2_score
Uttarakhand,79.02672023776125,49.080149999795005,71.43506866254516
Assam,74.8440152105068,51.915357486819474,68.91405127736347
Tripura,96.88878238395914,61.60146735088684,47.87141166394605
Telangana,81.51175295386855,47.678498313892824,55.26535291037143
Himachal Pradesh,67.02360641079841,43.0882628534308,56.43212506024828
Jammu And Kashmir,52.47618086619541,41.637307008281084,-11.483592030608092
Maharashtra,73.75389470383111,46.352229911714836,64.28044800111907
Punjab,39.55700036147129,26.293749986121846,65.42090497262708
Andhra Pradesh,55.59265337723466,44.0883917492893,19.26066396730327
Arunachal Pradesh,108.90750370314036,79.30121935650287,42.84090363595053
Uttar Pradesh,38.14164632964824,25.796127146340996,77.86290189283224
Haryana,43.508376023287646,29.876464971267733,54.3830110210884
Madhya Pradesh,53.90272285730707,33.81369101261673,71.46595015178482
Manipur,65.1541979912568,53.32963109315621,-1.2847093336279203
Karnataka,83.38644380319109,48.95872077808142,7.575998327469846
Chandigarh,154.17914832840611,69.41735135843749,28.076446918501084
West Bengal,40.77516449261964,32.039278194647125,88.33661117264062
Rajasthan,26.44057892644571,18.359375916803447,78.81099270968662
Chhattisgarh,33.98605237419067,24.419501254807518,90.32621767561542
Nagaland,61.35302606272873,47.42353316312412,76.53289145172768
Bihar,37.940148440766094,27.55075838564989,83.4588982877885
Puducherry,155.05679987485004,102.24098555979813,-42.95128461859959
Gujarat,72.1143136981776,38.129582580739694,53.24816865192472
Odisha,51.022221349110104,40.55935608187608,78.33203030745895
Tamil Nadu,59.60132233243471,44.312748988713246,21.286743003316023
Kerala,130.78227165994036,84.2878839885803,22.531959286884927
Sikkim,112.6421368994892,95.5405580077344,69.03246680720339
Delhi,49.951405267460395,34.99180226470641,50.985158490704606
Mizoram,57.854777472883015,42.886576506757045,76.85915770385078
Jharkhand,26.514381418720074,21.937220945854904,90.99923753974447
Meghalaya,214.19374251223,146.90700668940218,32.63114707399374
Goa,344.4339020847713,145.82677474117128,45.7934855437248
The Dadra And Nagar Haveli And Daman And Diu,206.53610397567076,119.75667803376466,62.41557095394439
